Rank,Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Meaning
415,Geographic Information Systems (GIS),Bachelors,50000,85100,52
416,Business Management,Bachelors,51700,85000,51
417,Linguistics,Bachelors,52100,84900,43
418,French Language,Bachelors,49600,84800,47
419,Communication,Bachelors,48000,84700,45
419,Neuroscience,Bachelors,51800,84700,58
421,Business Management & Human Resources Management (HRM),Bachelors,46800,84600,57
421,Journalism & Mass Communication,Bachelors,46300,84600,44
423,Accounting & Management,Bachelors,55500,84500,52
424,Sociology & Organizational Studies,Bachelors,53500,84300,57
425,Crop Science,Bachelors,48700,84200,60
425,French Studies,Bachelors,52400,84200,57
425,Writing,Bachelors,44200,84200,42
425,Nursing,Bachelors,65000,84200,83
429,History,Bachelors,47800,84100,46
430,Biology,Bachelors,47100,84000,65
430,Land Surveying,Bachelors,51900,84000,54
432,Architectural Technology,Bachelors,46700,83900,61
432,Health Care,Bachelors,44400,83900,74
432,Integrated Marketing Communications,Bachelors,47000,83900,36
435,Agriculture,Bachelors,47700,83800,61
436,Digital Design,Bachelors,50000,83600,40
436,Marketing & Advertising,Bachelors,49300,83600,44
436,Organizational Communication,Bachelors,46400,83600,49
439,Visual Effects & Motion Graphics,Bachelors,48100,83400,38
440,Public Relations & Communication,Bachelors,45700,83300,47
440,General & Strategic Management,Bachelors,51200,83300,55
442,Foreign Languages,Bachelors,48400,83100,52
442,Retail Merchandising,Bachelors,50900,83100,31
444,Agribusiness Management,Bachelors,47700,83000,46
444,Global Business,Bachelors,55800,83000,31
444,Professional & Technical Writing,Bachelors,48500,83000,44
447,Computer Art,Bachelors,40400,82900,31
447,Environmental Management,Bachelors,50200,82900,62
447,Environmental Studies,Bachelors,48500,82900,59
447,Journalism,Bachelors,45900,82900,44
447,Travel Industry Management,Bachelors,52600,82900,-
452,International Development Studies,Bachelors,47700,82800,64
452,Natural Sciences,Bachelors,45100,82800,55
452,Retail & Consumer Science,Bachelors,51800,82800,32
452,Literature,Bachelors,46800,82800,47
456,Bachelor in Science Nursing,Bachelors,64000,82700,81
456,History & Political Science,Bachelors,50600,82700,50
456,Museum Studies,Bachelors,38900,82700,50
459,Computer Information Management,Bachelors,49400,82600,-
459,Dental Hygiene,Bachelors,72700,82600,80
459,Law,Bachelors,54300,82600,53
459,Network Technology,Bachelors,59800,82600,57
463,Media Studies,Bachelors,50700,82400,38
464,Environmental Geography,Bachelors,50200,82300,52
465,Law Enforcement,Bachelors,46700,82200,60
466,Nuclear Medicine,Bachelors,60300,81900,81
466,Bachelor of Science in Nursing,Bachelors,63800,81900,83
468,Computer Animation,Bachelors,46800,81800,36
468,Landscape Architecture,Bachelors,51500,81800,65
468,Publishing,Bachelors,46300,81800,39
471,Interior Architecture,Bachelors,47600,81500,45
472,Diagnostic Medical Sonography,Bachelors,64300,81400,86
472,Environmental & Natural Resource Economics,Bachelors,52400,81400,65
472,Public Relations (PR),Bachelors,45600,81400,42
472,Workforce Education & Development,Bachelors,59900,81400,80
476,American History (United States),Bachelors,50900,81300,52
477,Drama,Bachelors,47400,81100,47
478,Management (MGT),Bachelors,47000,81000,62
479,Merchandising Management,Bachelors,46800,80900,38
480,Environmental Biology,Bachelors,45000,80800,70
481,Accounting & Business,Bachelors,52400,80700,48
482,Automotive Technology & Service Management,Bachelors,48800,80500,32
482,Speech Communication,Bachelors,46700,80500,54
484,Allied Health,Bachelors,44800,80400,78
485,Agricultural Systems Technology,Bachelors,60500,80300,-
485,Emergency Management,Bachelors,50900,80300,80
485,Network Administration,Bachelors,48700,80300,56
488,Communication Management,Bachelors,46000,80200,38
489,Historic Preservation,Bachelors,43400,80000,-
490,Broadcast Journalism,Bachelors,42900,79900,50
490,Broadcast & Cinematic Arts,Bachelors,42800,79900,43
492,Automotive Technology,Bachelors,48100,79800,47
492,Business Management & Administration,Bachelors,51400,79800,53
494,Agricultural Business,Bachelors,52700,79700,51
494,Technology Management,Bachelors,56400,79700,47
496,Global Studies,Bachelors,51200,79600,46
496,Professional Studies,Bachelors,42800,79600,62
498,Interpersonal Communications,Bachelors,45000,79500,53
499,Forestry,Bachelors,45900,79400,67
499,Homeland Security,Bachelors,49200,79400,72
501,Ancient History,Bachelors,46000,79300,-
501,Botany,Bachelors,42600,79300,73
501,Geography,Bachelors,49700,79300,52
504,Computer Aided Design (CAD),Bachelors,48700,79200,-
504,Nutrition Science,Bachelors,49500,79200,70
506,Acting,Bachelors,44200,79100,50
506,Public Management,Bachelors,50200,79100,66
508,Nuclear Medicine Technology,Bachelors,61700,79000,82
509,Apparel & Textile Manufacture,Bachelors,48300,78900,37
