,CODE,GEOG,AREA,Year,Bungalow,Flats,House_Detached,House_Terraced,House_Semi,Others
530,E01009137,LSOA,Birmingham 011G,2011,0.0,20.0,20.0,400.0,340.0,10
531,E02001838,MSOA,Birmingham 012,2011,110.0,260.0,2970.0,320.0,1670.0,10
532,E01009434,LSOA,Birmingham 012A,2011,20.0,60.0,620.0,110.0,250.0,0
533,E01009436,LSOA,Birmingham 012B,2011,30.0,20.0,890.0,0.0,80.0,0
534,E01009438,LSOA,Birmingham 012C,2011,10.0,50.0,710.0,50.0,210.0,0
535,E01009459,LSOA,Birmingham 015B,2011,10.0,160.0,690.0,0.0,320.0,0
536,E01009461,LSOA,Birmingham 015C,2011,50.0,20.0,780.0,0.0,190.0,0
537,E01009463,LSOA,Birmingham 015D,2011,40.0,110.0,560.0,30.0,320.0,0
538,E02001842,MSOA,Birmingham 016,2011,20.0,90.0,200.0,290.0,4980.0,0
539,E01009235,LSOA,Birmingham 016A,2011,0.0,0.0,20.0,80.0,1070.0,0
540,E01009243,LSOA,Birmingham 016B,2011,10.0,0.0,60.0,20.0,1000.0,0
541,E01009245,LSOA,Birmingham 016C,2011,10.0,50.0,80.0,0.0,940.0,0
542,E01009246,LSOA,Birmingham 016D,2011,0.0,30.0,20.0,190.0,870.0,0
543,E01010224,LSOA,Solihull 020C,2011,20.0,80.0,240.0,0.0,910.0,10
544,E01010225,LSOA,Solihull 020D,2011,0.0,0.0,40.0,0.0,1110.0,0
545,E02002101,MSOA,Solihull 021,2011,190.0,680.0,600.0,200.0,2560.0,0
546,E01010218,LSOA,Solihull 021A,2011,70.0,200.0,40.0,90.0,500.0,0
547,E01010219,LSOA,Solihull 021B,2011,20.0,130.0,160.0,80.0,810.0,0
548,E02002105,MSOA,Solihull 025,2011,320.0,230.0,3550.0,290.0,780.0,140
549,E01010166,LSOA,Solihull 025A,2011,80.0,0.0,680.0,0.0,210.0,60
550,E01010168,LSOA,Solihull 025B,2011,70.0,110.0,690.0,120.0,220.0,40
551,E01010169,LSOA,Solihull 025C,2011,40.0,90.0,820.0,40.0,140.0,20
552,E01010170,LSOA,Solihull 025D,2011,40.0,10.0,880.0,10.0,90.0,10
553,E01010171,LSOA,Solihull 025E,2011,90.0,20.0,480.0,110.0,120.0,10
554,E02002106,MSOA,Solihull 026,2011,170.0,660.0,4240.0,260.0,1290.0,40
555,E01010151,LSOA,Solihull 026A,2011,40.0,250.0,240.0,150.0,400.0,10
556,E01010152,LSOA,Solihull 026B,2011,10.0,10.0,840.0,0.0,120.0,0
557,E01010153,LSOA,Solihull 026C,2011,40.0,90.0,860.0,40.0,90.0,0
558,E01010154,LSOA,Solihull 026D,2011,60.0,180.0,700.0,40.0,50.0,20
559,E01010155,LSOA,Solihull 026E,2011,10.0,100.0,700.0,20.0,370.0,0
560,E01010156,LSOA,Solihull 026F,2011,10.0,40.0,900.0,10.0,240.0,0
561,E02002107,MSOA,Solihull 027,2011,130.0,40.0,2960.0,210.0,550.0,40
562,E01010212,LSOA,Solihull 027A,2011,20.0,0.0,850.0,30.0,20.0,0
563,E01010214,LSOA,Solihull 027B,2011,40.0,0.0,640.0,0.0,210.0,0
564,E01010215,LSOA,Solihull 027C,2011,60.0,40.0,760.0,80.0,130.0,20
565,E01010216,LSOA,Solihull 027D,2011,10.0,0.0,730.0,100.0,140.0,20
566,E02002108,MSOA,Solihull 028,2011,330.0,340.0,4120.0,280.0,1450.0,30
567,E01010150,LSOA,Solihull 028A,2011,100.0,10.0,810.0,10.0,220.0,0
568,E01010184,LSOA,Solihull 028B,2011,30.0,110.0,140.0,100.0,610.0,0
569,E01010185,LSOA,Solihull 028C,2011,60.0,30.0,860.0,10.0,160.0,0
570,E01010186,LSOA,Solihull 028D,2011,40.0,120.0,600.0,140.0,320.0,0
571,E01010187,LSOA,Solihull 028E,2011,10.0,0.0,840.0,20.0,20.0,10
572,E01010188,LSOA,Solihull 028F,2011,90.0,70.0,880.0,10.0,140.0,10
573,E02002109,MSOA,Solihull 029,2011,330.0,920.0,2600.0,540.0,1440.0,70
574,E01010180,LSOA,Solihull 029A,2011,20.0,20.0,200.0,150.0,440.0,20
575,E01010181,LSOA,Solihull 029B,2011,150.0,80.0,660.0,90.0,190.0,10
576,E01010182,LSOA,Solihull 029C,2011,40.0,780.0,650.0,200.0,240.0,20
577,E01010183,LSOA,Solihull 029D,2011,50.0,30.0,390.0,50.0,350.0,10
578,E01010189,LSOA,Solihull 029E,2011,60.0,20.0,690.0,60.0,230.0,0
579,E01010146,LSOA,Solihull 004A,2011,20.0,140.0,0.0,250.0,480.0,0
580,E01010234,LSOA,Solihull 004B,2011,60.0,230.0,0.0,300.0,170.0,10
581,E01010237,LSOA,Solihull 004C,2011,40.0,100.0,40.0,290.0,690.0,0
582,E01010238,LSOA,Solihull 004D,2011,40.0,270.0,0.0,320.0,70.0,0
583,E02002085,MSOA,Solihull 005,2011,60.0,890.0,180.0,660.0,1870.0,10
584,E01010145,LSOA,Solihull 005A,2011,0.0,150.0,80.0,110.0,780.0,0
585,E01010147,LSOA,Solihull 005B,2011,20.0,390.0,0.0,180.0,150.0,0
586,E01010148,LSOA,Solihull 005C,2011,20.0,340.0,20.0,300.0,170.0,10
587,E01010149,LSOA,Solihull 005D,2011,20.0,20.0,100.0,70.0,760.0,0
588,E02002086,MSOA,Solihull 006,2011,100.0,1010.0,20.0,1000.0,720.0,10
589,E01010125,LSOA,Solihull 006A,2011,40.0,330.0,0.0,260.0,150.0,0
590,E01010129,LSOA,Solihull 006B,2011,30.0,280.0,0.0,320.0,150.0,0
591,E01010139,LSOA,Solihull 006C,2011,20.0,20.0,0.0,230.0,280.0,0
592,E01010128,LSOA,Solihull 008D,2011,10.0,160.0,0.0,320.0,280.0,0
593,E01010130,LSOA,Solihull 008E,2011,50.0,400.0,0.0,340.0,100.0,0
594,E01010131,LSOA,Solihull 008F,2011,10.0,300.0,0.0,300.0,60.0,0
595,E02002089,MSOA,Solihull 009,2011,210.0,330.0,1320.0,850.0,2050.0,40
596,E01010109,LSOA,Solihull 009A,2011,60.0,0.0,250.0,100.0,450.0,20
597,E01010110,LSOA,Solihull 009B,2011,50.0,30.0,550.0,30.0,330.0,10
598,E01010112,LSOA,Solihull 009C,2011,20.0,130.0,120.0,290.0,350.0,0
599,E01010113,LSOA,Solihull 009D,2011,50.0,70.0,40.0,350.0,180.0,0
600,E01010114,LSOA,Solihull 009E,2011,30.0,100.0,340.0,80.0,750.0,10
601,E02002090,MSOA,Solihull 010,2011,130.0,20.0,140.0,220.0,3510.0,10
602,E01010157,LSOA,Solihull 010A,2011,0.0,0.0,0.0,200.0,650.0,10
603,E01010159,LSOA,Solihull 010B,2011,10.0,0.0,40.0,0.0,960.0,0
604,E01010162,LSOA,Solihull 010C,2011,120.0,0.0,20.0,10.0,990.0,0
605,E01010163,LSOA,Solihull 010D,2011,0.0,20.0,40.0,10.0,900.0,0
606,E02002091,MSOA,Solihull 011,2011,230.0,280.0,240.0,330.0,4490.0,10
